Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1860397,Yes,Yes,1860397,611A,"Flinders Lane between Swanston Street and Elizabeth Street, approximately 10m South of Amano By Lorena Laing, Shop 5, Ground 280 Flinders Lane, MELBOURNE VIC 3000",-37.8170767,144.9650462,"-37.8170767, 144.9650462"
MPM1860399,Yes,Yes,1860399,608C,"Flinders Lane between Spring Street and Exhibition Street, approximately 5m NE of Part Unit 2, 65 Flinders Lane, MELBOURNE VIC 3000",-37.8148748,144.9725483,"-37.8148748, 144.9725483"
MPM1860404,Yes,Yes,1860404,653C,"Lonsdale Street between Swanston Street and Elizabeth Street, approximately 5m North of Shop 31A, Ground 287 Lonsdale Street, MELBOURNE VIC 3000",-37.8118512,144.964142,"-37.8118512, 144.964142"
MPM1860408,Yes,Yes,1860408,523B,"Russell Street between Little Lonsdale Street and La Trobe Street, approximately 4m West of Melcorp Real Estate Pty Ltd, 308 Russell Street, MELBOURNE VIC 3000",-37.8094075,144.9666879,"-37.8094075, 144.9666879"
MPM1868996,Yes,Yes,1868996,640A,"Bourke Street between William Street and King Street, approximately 7m South of Le's Vietnamese Street Food Victoria, Shop 2, LwrGround 600 Bourke Street, MELBOURNE VIC 3000",-37.8161694,144.9561967,"-37.8161694, 144.9561967"
MPM1868997,Yes,Yes,1868997,640B,"Bourke Street between William Street and King Street, approximately 3m North of Brief Melbourne, Part Ground 575 Bourke Street, MELBOURNE VIC 3000",-37.8162352,144.9566549,"-37.8162352, 144.9566549"
MPM1869000,Yes,Yes,1869000,652C,"Lonsdale Street between Russell Street and Swanston Street, approximately 4m South of Grandcity Travel Pty Ltd, 224-226 Lonsdale Street, MELBOURNE VIC 3000",-37.8112236,144.9655065,"-37.8112236, 144.9655065"
MPM1869009,Yes,Yes,1869009,564A,"Gresham Street between Bourke Street and Little Bourke Street, approximately 34m NW of Secure Parking, Basement & Part Ground, 570 Bourke Street, MELBOURNE VIC 3000",-37.8156883,144.9566117,"-37.8156883, 144.9566117"
MPM1869010,Yes,Yes,1869010,530B,"Elizabeth Street between Little Collins Street and Bourke Street, approximately 5m NW of EzyMart, Ground 150 Elizabeth Street, MELBOURNE VIC 3000",-37.8146697,144.9634814,"-37.8146697, 144.9634814"
MPM1885768,Yes,Yes,1885768,621C,"Collins Street between Elizabeth Street and Queen Street, approximately 6m NW of Tenancy 2, 371 Collins Street, MELBOURNE VIC 3000",-37.8168817,144.962091,"-37.8168817, 144.962091"
MPM1885769,Yes,Yes,1885769,528B,"Elizabeth Street between Flinders Lane and Collins Street, approximately 5m East of Barhion, Shop Ground 61 Elizabeth Street, MELBOURNE VIC 3000",-37.8168244,144.9642138,"-37.8168244, 144.9642138"
